product_id,name,sku,stripe_id,list_price,sale_price,promo_sale_price,promo_until,currency,edition,medium,type,preorder,free,physical,is_bundle
bonus-ye-holiday,Holiday Bonus Lessons (Youth Edition),BONUS-HOL-YE,,0.0,0.0,,,usd,YE,,,False,True,False,False
bonus-ie-holiday,Holiday Bonus Lessons (Instructor Edition),BONUS-HOL-IE,,9.99,9.99,,,usd,IE,,,False,False,False,False
medallion-grinch-ae,GRinCH Champion Medallion (Adult),MEDAL-GRINCH-AE,,9.99,9.99,,,usd,AE,,,False,False,True,False
medallion-grinch-ye,GRinCH Champion Medallion (Youth),MEDAL-GRINCH-YE,,9.99,9.99,,,usd,YE,,,False,False,True,False
medallion-grinch-ie,GRinCH Iron vs Iron Medallion (Instructor),MEDAL-GRINCH-IE,,9.99,9.99,,,usd,IE,,,False,False,True,False
medallion-passport-ae,Passport Trek Medallion (Adult),MEDAL-PASSPORT-AE,,9.99,9.99,,,usd,AE,,,False,False,True,False
medallion-passport-ye,Passport Trek Medallion (Youth),MEDAL-PASSPORT-YE,,9.99,9.99,,,usd,YE,,,False,False,True,False
medallion-passport-ie,Passport Trek Medallion (Instructor),MEDAL-PASSPORT-IE,,9.99,9.99,,,usd,IE,,,False,False,True,False
medallion-teacher-pack,Teacher Pack (3 Medallions),MEDAL-PACK-3,,29.97,24.99,,,usd,,,,False,False,True,False
medallion-ministry-pack,Ministry Pack (10 Medallions),MEDAL-PACK-10,,99.9,69.99,,,usd,,,,False,False,True,False
medallion-church-bundle,Church Bundle (25 Medallions),MEDAL-PACK-25,,249.75,149.99,,,usd,,,,False,False,True,False

